status,enter row,exit row,enter price,exit price,difference
+,8,44,574.98,591.16,16.18
+,9,117,576.22,603,26.78
+,30,117,578.21,603,24.79
+,43,121,580.8,608.61,27.81
+,44,121,591.16,608.61,17.45
+,66,117,580.2,603,22.8
+,82,117,575.13,603,27.87
+,85,117,577.02,603,25.98
+,90,117,579.84,603,23.16
+,111,117,576.97,603,26.03
+,117,121,603,608.61,5.61
+,121,342,608.61,633,24.39
+,144,344,619.87,637.8,17.93
-,145,232,622.52,592.93,-29.59
+,175,344,611,637.8,26.8
+,235,342,601.39,633,31.61
+,236,342,604.03,633,28.97
+,252,342,607.2,633,25.8
+,280,342,607.21,633,25.79
+,283,342,609,633,24
+,284,343,609.9,634.12,24.22
+,285,344,610,637.8,27.8
+,318,344,612.59,637.8,25.21
+,325,410,616.73,647.82,31.09
+,342,410,633,647.82,14.82
+,343,428,634.12,659.5,25.38
+,344,432,637.8,663.7,25.9
+,361,432,637.99,663.7,25.71
+,404,428,633.86,659.5,25.64
+,408,428,634.45,659.5,25.05
+,409,432,638.98,663.7,24.72
+,410,433,647.82,666.03,18.21
+,428,437,659.5,684.71,25.21
+,432,449,663.7,690.51,26.81
+,433,449,666.03,690.51,24.48
+,434,451,669.12,698.79,29.67
+,435,451,675.42,698.79,23.37
+,437,452,684.71,706,21.29
+,449,453,690.51,711.57,21.06
+,451,478,698.79,727.48,28.69
+,452,478,706,727.48,21.48
+,453,568,711.57,738.55,26.98
+,467,478,700.71,727.48,26.77
+,468,560,709.95,732.96,23.01
+,469,594,715.21,741.4,26.19
+,470,650,720.57,758.35,37.78
-,478,483,727.48,691.6,-35.88
+,497,559,703.77,729.55,25.78
+,512,559,703.52,729.55,26.03
+,515,561,709.29,736.07,26.78
+,516,568,714.45,738.55,24.1
-,527,539,712.4,685.94,-26.46
+,549,560,703.4,732.96,29.56
+,552,568,709.79,738.55,28.76
+,557,568,719,738.55,19.55
+,559,650,729.55,758.35,28.8
+,560,651,732.96,762.5,29.54
+,561,654,736.07,768.6,32.53
+,568,654,738.55,768.6,30.05
+,569,654,740.12,768.6,28.48
+,574,713,741.22,772.1,30.88
+,587,654,735,768.6,33.6
+,588,654,737.1,768.6,31.5
+,594,713,741.4,772.1,30.7
+,640,654,735.25,768.6,33.35
+,647,654,741.99,768.6,26.61
+,650,740,758.35,777.19,18.84
+,651,765,762.5,794.21,31.71
+,654,766,768.6,803.51,34.91
+,665,765,765.27,794.21,28.94
+,712,766,769.5,803.51,34.01
+,713,766,772.1,803.51,31.41
+,731,766,772.97,803.51,30.54
+,732,767,773.04,812,38.96
+,740,767,777.19,812,34.81
+,763,769,788.2,821.26,33.06
+,765,770,794.21,827.14,32.93
+,766,771,803.51,853.3,49.79
+,767,771,812,853.3,41.3
+,770,775,827.14,866.36,39.22
+,771,775,853.3,866.36,13.06
+,775,781,866.36,894.5,28.14
+,776,805,878.99,918.16,39.17
-,781,789,894.5,830,-64.5
+,793,802,875.38,907.76,32.38
+,797,805,884.52,918.16,33.64
+,802,807,907.76,928.17,20.41
+,805,833,918.16,958,39.84
+,807,834,928.17,964.99,36.82
+,808,836,932.9,974,41.1
+,832,836,936.25,974,37.75
+,833,837,958,985.98,27.98
+,834,848,964.99,1004.63,39.64
+,836,849,974,1024.78,50.78
+,837,849,985.98,1024.78,38.8
+,838,850,988.59,1032.03,43.44
+,847,851,996.99,1068.8,71.81
+,848,851,1004.63,1068.8,64.17
+,849,851,1024.78,1068.8,44.02
+,850,851,1032.03,1068.8,36.77
+,851,853,1068.8,1087.74,18.94
-,871,892,891,759.04,-131.96
-,882,891,872.59,815,-57.59
-,889,891,883,815,-68
+,898,925,800.01,846.35,46.34
+,899,925,811.81,846.35,34.54
+,925,926,846.35,867.02,20.67
+,926,928,867.02,883.61,16.59
+,928,956,883.61,917.41,33.8
+,940,1010,883.24,919.3,36.06
+,941,1011,886.9,940,53.1
+,949,1011,905.51,940,34.49
+,950,1014,910.01,956.35,46.34
+,981,1011,895.56,940,44.44
+,982,1011,907.14,940,32.86
+,984,1014,908,956.35,48.35
