date,time,open,high,low,close,volume
2022.04.27,11:35,38880.78,38923.54,38865.31,38866.83,455
2022.04.27,11:40,38866.85,38969.48,38866.85,38921.87,406
2022.04.27,11:45,38918.86,38920.62,38799.03,38821.62,442
2022.04.27,11:50,38820.82,38847.78,38664.78,38825.28,595
2022.04.27,11:55,38825.28,39026.19,38825.28,38971.69,473
2022.04.27,12:00,38971.69,39050.05,38959.69,39038.95,385
2022.04.27,12:05,39040.45,39077.84,38819.2,38834.26,690
2022.04.27,12:10,38843.51,38898.11,38805.62,38838.11,346
2022.04.27,12:15,38838.11,38908.61,38838.11,38875.61,393
2022.04.27,12:20,38873.61,39013.02,38865.98,38964.71,480
2022.04.27,12:25,38972.71,39034.28,38964.24,38996.28,401
2022.04.27,12:30,38992.92,39026.93,38917.01,38943.61,508
2022.04.27,12:35,38943.61,38995.49,38908.54,38988.99,358
2022.04.27,12:40,38978.99,39022.99,38971.99,38993.56,315
2022.04.27,12:45,38990.06,39058.87,38981.06,39022.25,402
2022.04.27,12:50,39022.25,39066.67,39022.25,39044.12,238
2022.04.27,12:55,39039.56,39108.54,39039.56,39049.45,319
2022.04.27,13:00,39049.45,39069.49,38991.63,39013.11,258
2022.04.27,13:05,39011.12,39037.12,38964.87,38968.78,269
2022.04.27,13:10,38968.78,38989.23,38954.58,38979.58,383
2022.04.27,13:15,38978.62,39026.32,38943.65,38999.62,460
2022.04.27,13:20,39000.12,39060.68,38989.12,39025.12,404
2022.04.27,13:25,39024.12,39069.62,39014.58,39067.51,314
2022.04.27,13:30,39068.87,39074.86,39004.34,39031.37,286
2022.04.27,13:35,39028.87,39140.12,39020.62,39088.36,331
2022.04.27,13:40,39086.5,39103.36,39057.36,39097.87,318
2022.04.27,13:45,39084.16,39134.86,38968.87,38987.9,834
2022.04.27,13:50,38988.65,39098.12,38983.96,39084.04,324
2022.04.27,13:55,39084.04,39117.04,39078.44,39090.04,145
2022.04.27,14:00,39090.04,39110.18,39071.5,39076.35,230
2022.04.27,14:05,39074.65,39076.22,38960.62,38961.37,602
2022.04.27,14:10,38960.37,38977.97,38891.03,38905.53,380
2022.04.27,14:15,38905.53,38926.03,38864.24,38873.59,479
2022.04.27,14:20,38873.29,38879.1,38706.6,38759.98,931
2022.04.27,14:25,38755.98,38786.82,38624.61,38763.32,1150
2022.04.27,14:30,38763.32,38941.23,38763.32,38897.16,785
2022.04.27,14:35,38897.16,38914.16,38843.16,38872.16,387
2022.04.27,14:40,38872.16,38942.51,38844.66,38871.44,409
2022.04.27,14:45,38870.87,38955.32,38870.87,38912.17,656
2022.04.27,14:50,38916.17,38943.17,38877.67,38889.17,261
2022.04.27,14:55,38880.67,39066.75,38871.17,39007.31,471
2022.04.27,15:00,39009.31,39105.38,38974.21,39086.37,579
2022.04.27,15:05,39082.87,39122.25,39014.24,39087.24,650
2022.04.27,15:10,39087.24,39090.99,39043.62,39064.25,513
2022.04.27,15:15,39062.54,39078.09,38925.85,38925.85,475
2022.04.27,15:20,38931.85,38968.35,38868.95,38949.47,402
2022.04.27,15:25,38948.97,39060.17,38939.47,39044.85,285
2022.04.27,15:30,39041.45,39080.17,38900.16,38973.66,641
2022.04.27,15:35,38974.66,38980.16,38864.61,38964.12,609
2022.04.27,15:40,38965.61,38982.61,38903.11,38930.61,649
2022.04.27,15:45,38930.61,38954.11,38870.07,38882.57,456
2022.04.27,15:50,38882.57,38912.37,38868.07,38898.57,394
2022.04.27,15:55,38898.57,38949.62,38856.99,38873.75,436
2022.04.27,16:00,38877.75,38971.87,38876.25,38925.12,653
2022.04.27,16:05,38925.62,38958.12,38801.3,38829.53,664
2022.04.27,16:10,38829.53,38862.03,38751.63,38762.13,478
2022.04.27,16:15,38767.13,38852.12,38767.13,38825.26,464
2022.04.27,16:20,38825.26,38922.14,38825.26,38878.62,530
2022.04.27,16:25,38878.62,38990.37,38878.62,38961.19,662
2022.04.27,16:30,38958.64,39364.26,38950.66,39161.55,1583
2022.04.27,16:35,39161.85,39287.3,39041.8,39125.91,1197
2022.04.27,16:40,39127.91,39278.11,39114.5,39226.69,849
2022.04.27,16:45,39231.69,39379.46,39210.62,39337.46,889
2022.04.27,16:50,39337.46,39458.73,39312.85,39359.4,953
2022.04.27,16:55,39359.4,39360.9,39276.14,39330.83,965
2022.04.27,17:00,39330.83,39399.33,38832.15,38869.94,1309
2022.04.27,17:05,38869.94,38975.66,38770.93,38847.6,1306
2022.04.27,17:10,38847.6,38856.6,38592.21,38594.06,1400
2022.04.27,17:15,38598.56,38705.56,38498.32,38669.83,1249
2022.04.27,17:20,38671.56,38801.62,38619.06,38687.77,1249
2022.04.27,17:25,38687.77,38773.84,38551.26,38551.76,1157
2022.04.27,17:30,38551.76,38594.76,38405.29,38565.29,1497
2022.04.27,17:35,38565.79,38746.63,38523.79,38679.38,1364
2022.04.27,17:40,38680.13,38776.68,38628.66,38718.68,1360
2022.04.27,17:45,38724.68,38892.49,38674.39,38798.66,1124
2022.04.27,17:50,38801.66,38816.02,38631.61,38654.11,863
2022.04.27,17:55,38650.11,38727.13,38630.65,38654.65,753
2022.04.27,18:00,38656.15,38812.15,38656.15,38777.89,1128
2022.04.27,18:05,38779.89,38784.53,38683.05,38690.89,841
2022.04.27,18:10,38690.89,38762.81,38621.81,38668.37,1044
2022.04.27,18:15,38669.37,38783.81,38666.02,38747.56,897
2022.04.27,18:20,38747.12,38804.49,38653.23,38761.62,812
2022.04.27,18:25,38752.41,38839.45,38732.8,38779.9,998
2022.04.27,18:30,38779.9,39097.5,38779.9,38961.77,1061
2022.04.27,18:35,38961.77,39009.59,38900.18,38902.04,950
2022.04.27,18:40,38908.54,39120.07,38865.04,38935.98,1043
2022.04.27,18:45,38935.98,39048.69,38910.98,38983.24,687
2022.04.27,18:50,38983.24,39079.62,38892.7,38910.24,795
2022.04.27,18:55,38910.24,39001.36,38882.74,39001.36,806
2022.04.27,19:00,39001.36,39070.87,38899.86,39014.35,715
2022.04.27,19:05,39014.35,39172.57,39012.49,39132.96,786
2022.04.27,19:10,39132.96,39153.17,39104.7,39117.17,580
2022.04.27,19:15,39121.56,39192.58,39055.94,39096.46,701
2022.04.27,19:20,39102.46,39295.41,39080.6,39250.62,813
2022.04.27,19:25,39251.91,39301.33,39225.41,39272.26,672
2022.04.27,19:30,39272.26,39301.76,39212.76,39266.52,634
2022.04.27,19:35,39264.52,39274.52,39193.13,39241.63,763
2022.04.27,19:40,39241.63,39286.87,39194.93,39268.69,997
2022.04.27,19:45,39266.69,39280.37,39167.15,39195.56,653
2022.04.27,19:50,39197.06,39211.56,39105.43,39150.96,696
2022.04.27,19:55,39156.37,39192.01,39132.78,39185.51,574
2022.04.27,20:00,39187.51,39202.91,38976.44,39201.91,1610
2022.04.27,20:05,39203.91,39250.12,39095.59,39157.56,951
2022.04.27,20:10,39160.06,39170.56,38996.56,39038.06,840
2022.04.27,20:15,39038.06,39044.73,38950.65,38968.81,779
2022.04.27,20:20,38968.81,39036.56,38965.37,38996.56,739
2022.04.27,20:25,39003.06,39101.18,38946.47,39068.2,1069
2022.04.27,20:30,39071.2,39143.37,39047.1,39104.32,839
2022.04.27,20:35,39104.32,39142.82,39038.86,39081.82,645
2022.04.27,20:40,39081.82,39104.95,39038.5,39077.24,537
2022.04.27,20:45,39071.59,39130.37,38998.81,39098.81,603
2022.04.27,20:50,39098.81,39140.79,39081.35,39114.29,351
2022.04.27,20:55,39114.29,39126.62,39080.29,39095.29,759
