status,enter row,exit row,enter price,exit price,difference
+,8,44,574.98,591.16,16.18
+,66,117,580.2,603,22.8
+,121,342,608.61,633,24.39
+,344,432,637.8,663.7,25.9
+,434,451,669.12,698.79,29.67
+,453,568,711.57,738.55,26.98
+,574,713,741.22,772.1,30.88
+,731,766,772.97,803.51,30.54
+,770,775,827.14,866.36,39.22
-,781,789,894.5,830,-64.5
+,793,802,875.38,907.76,32.38
+,805,833,918.16,958,39.84
+,836,849,974,1024.78,50.78
+,851,853,1068.8,1087.74,18.94
-,871,892,891,759.04,-131.96
+,898,925,800.01,846.35,46.34
+,928,956,883.61,917.41,33.8
+,981,1011,895.56,940,44.44
+,1014,1024,956.35,985.01,28.66
+,1026,1053,995.1,1035.3,40.2
-,1057,1065,1045.3,965.99,-79.31
+,1073,1108,991,1025,34
+,1132,1137,1039.73,1090.01,50.28
+,1144,1152,1093,1145.46,52.46
+,1170,1185,1153,1194.9,41.9
+,1190,1192,1216.59,1256.62,40.03
+,1236,1239,1193.51,1249,55.49
+,1252,1264,1210,1236.8,26.8
+,1294,1303,1057.43,1101.46,44.03
-,1306,1321,1117.1,1026,-91.1
+,1334,1341,991.1,1041,49.9
+,1343,1369,1044.41,1089.52,45.11
+,1377,1385,1090,1147.42,57.42
+,1398,1402,1143.66,1184,40.34
+,1408,1483,1188.09,1242.99,54.9
+,1501,1524,1239.49,1285.38,45.89
+,1545,1549,1305.01,1368,62.99
+,1554,1565,1403.09,1449.4,46.31
+,1567,1589,1494.85,1595.17,100.32
+,1592,1594,1625.85,1672.94,47.09
+,1606,1609,1728.99,1795.09,66.1
+,1623,1645,1731.36,1772.29,40.93
+,1651,1655,1828.19,1860.99,32.8
+,1659,1664,1922.03,1992.09,70.06
+,1667,1673,2026.99,2139.19,112.2
+,1675,1684,2197.6,2270.99,73.39
+,1686,1688,2379.48,2430,50.52
+,1690,1691,2487.99,2572.99,85
+,1708,1709,2080.1,2150,69.9
+,1716,1720,2153.99,2274.24,120.25
+,1729,1733,2232.19,2345.99,113.8
+,1742,1747,2373.99,2476.64,102.65
+,1756,1761,2530.39,2672.31,141.92
-,1764,1815,2792.79,2467.29,-325.5
+,1830,1849,2532.2,2600,67.8
-,1861,1875,2670.7,2533.11,-137.59
-,1898,1918,2519.59,2348.99,-170.6
+,1922,1927,2402.54,2513.21,110.67
-,1943,1969,2541.99,2397.23,-144.76
-,1981,1994,2391.3,2151.76,-239.54
+,2009,2012,2041.8,2151.8,110
+,2015,2018,2231.8,2339.59,107.79
+,2028,2029,2511.8,2612.3,100.5
+,2031,2043,2749.85,2841.37,91.52
+,2068,2073,2555.8,2704.8,149
+,2075,2096,2766.8,2889.76,122.96
+,2098,2122,2911.8,3136.9,225.1
+,2125,2138,3286.9,3400.46,113.56
+,2145,2167,3459.79,3589.79,130
+,2169,2172,3731.8,3936.79,204.99
+,2175,2176,4062.61,4190.79,128.18
+,2186,2192,4190.5,4353.7,163.2
+,2202,2207,4291.25,4416.15,124.9
+,2227,2236,4059.4,4237.47,178.07
+,2240,2244,4345.93,4436.94,91.01
+,2252,2256,4356.36,4534.7,178.34
+,2267,2273,4680.4,4829.29,148.89
-,2275,2276,4867.96,4531.11,-336.85
+,2287,2292,4405.15,4578.57,173.42
-,2302,2304,4665.7,4325.58,-340.12
+,2334,2335,3570.83,3714.41,143.58
+,2338,2339,3953.72,4027.06,73.34
+,2367,2371,3774.74,3916.47,141.73
+,2381,2383,4055.34,4139.58,84.24
+,2385,2400,4228.14,4388.57,160.43
+,2414,2423,4302.48,4568.98,266.5
+,2427,2428,4624.49,4819.86,195.37
+,2434,2443,4851.39,5097.49,246.1
+,2445,2448,5318.14,5706.13,387.99
+,2471,2481,5534.42,5967.8,433.38
+,2500,2504,5662.43,5934.9,272.47
+,2507,2522,5978.6,6319.95,341.35
+,2527,2531,6523.12,6790.38,267.26
+,2533,2538,6967.53,7209.14,241.61
+,2555,2559,7282.27,7702.72,420.45
+,2585,2588,6760.9,7138.18,377.28
+,2593,2595,7432.1,7671.39,239.29
+,2606,2633,8117.24,9514.82,1397.58
+,2640,2647,9813.41,10670.6,857.15
+,2660,2662,10613.9,10891.9,278.04
+,2664,2675,11434.4,11888.2,453.88
+,2677,2680,12413.9,13141.7,727.75
+,2683,2684,14554.2,14892.8,338.58
+,2687,2698,16564.1,16883.6,319.46
+,2718,2720,17079.6,17724.2,644.63
+,2723,2724,18376.8,18781.4,404.55
+,2760,2761,15035.3,15136.2,100.91
+,2763,2766,15659,16247.9,588.82
-,2778,2786,14850.3,12863.9,-1986.39
+,2790,2792,13892.7,14690.8,798.07
+,2807,2808,15723.3,15903,179.78
-,2810,2820,16777.1,14073.2,-2703.84
-,2844,2847,14223.6,12982.1,-1241.45
-,2859,2923,11429.6,8869.34,-2560.29
+,2942,2945,7718.37,7919.32,200.95
+,2952,2966,8373.9,8750.47,376.57
+,2974,2976,8761.43,9151.48,390.05
+,2979,2983,9343.01,10015.1,672.09
+,2985,2993,10222.7,10887.2,664.51
-,2997,3012,11406,9835.65,-1570.33
+,3018,3029,10162.7,10665.4,502.66
+,3034,3051,10869.5,11364.5,495.03
-,3056,3060,11581.4,10762.1,-819.26
+,3081,3082,9413.53,9494.34,80.81
+,3108,3121,8408.95,8789.07,380.12
+,3178,3181,7292.36,7330.62,38.26
+,3201,3203,7005.32,7073.55,68.23
+,3211,3222,6765.01,7628.56,863.55
+,3227,3231,8050.67,8327.6,276.93
+,3248,3258,8113.44,8449.07,335.63
+,3261,3263,8757.16,8836.74,79.58
+,3267,3270,9099.05,9296.01,196.96
-,3272,3281,9375.79,8635.97,-739.82
+,3285,3313,9151.39,9516.3,364.91
-,3336,3347,9192.58,8713.32,-479.26
-,3355,3375,8700.83,7877.6,-823.23
-,3380,3397,8139.77,7536.92,-602.85
+,3420,3437,7329.72,7518.12,188.4
-,3441,3471,7633.7,6647.47,-986.23
-,3477,3486,6776.84,6388.79,-388.05
-,3494,3530,6587.03,5990.28,-596.75
-,3535,3555,6207.65,5807.53,-400.12
+,3561,3564,6260.3,6270.51,10.21
-,3577,3611,6590.69,6131.27,-459.42
+,3621,3624,6277.55,6538.47,260.92
+,3627,3632,6669.72,7239.87,570.15
+,3658,3660,7777.88,8137.07,359.19
-,3663,3694,8340.26,7461.23,-879.03
-,3718,3722,6965.17,6530.34,-434.83
-,3732,3747,6375.56,5925.61,-449.95
+,3753,3756,6261.7,6520.5,258.8
+,3783,3806,6645.12,6827.94,182.82
+,3809,3830,6961.92,7201.52,239.6
-,3839,3845,7286.13,6904.28,-381.85
+,3878,3916,6336,6628.69,292.69
+,3935,3946,6459.54,6688.67,229.13
-,3969,3999,6522.01,6184.49,-337.52
+,4012,4112,6380.33,6498.9,118.57
+,4199,4201,3973.39,4130.63,157.24
+,4246,4288,3562.64,3681.65,119.01
+,4291,4296,3861.4,4063.9,202.5
-,4306,4327,4157.65,3580.39,-577.26
+,4332,4364,3848.64,4025.39,176.75
-,4373,4384,4052.89,3768.14,-284.75
+,4434,4547,3580.4,3781.91,201.51
-,4571,4574,3936.28,3751.89,-184.39
-,4602,4606,3824.64,3692.14,-132.5
+,4613,4631,3827.09,3877.49,50.4
+,4643,4682,3858.14,4018.13,159.99
+,4706,4721,3958.38,4072.14,113.76
+,4724,4731,4110.39,4688,577.61
+,4740,4755,5120.38,5296.86,176.48
-,4768,4778,5241.64,5017.15,-224.49
+,4781,4807,5079.9,5297.9,218
-,4821,4838,5510.41,5109.4,-401.01
+,4853,4867,5202.9,5397.4,194.5
+,4869,4870,5469.65,5669.64,199.99
+,4881,4892,5881.4,6000.65,119.25
+,4898,4902,6104.15,6368.65,264.5
+,4904,4905,7038.15,7114.15,76
+,4907,4908,7361.15,7873.15,512
-,4922,4929,8327.65,7193.79,-1133.86
+,4957,4964,7857.89,8910.89,1053
-,4993,5005,8505.39,7643.89,-861.5
+,5020,5047,7965.89,8255.89,290
+,5051,5054,8355.38,9197.39,842.01
+,5057,5079,9260.14,9727.64,467.5
+,5081,5084,9827.89,10626.4,798.5
+,5091,5096,11204.3,11910.8,706.47
+,5098,5100,12600.4,13544.4,943.94
-,5113,5121,12179.4,9881.84,-2297.53
+,5125,5126,10736.6,11239.9,503.25
+,5132,5149,11837,12197.5,360.53
+,5151,5157,12708.2,13018,309.87
-,5173,5174,11861.1,10064.5,-1796.63
-,5179,5185,10805.9,9579.08,-1226.81
+,5196,5197,10460.9,10610.6,149.75
+,5222,5257,10103.4,10396.4,293
+,5260,5264,10504.9,11229.1,724.25
+,5266,5272,11739.1,12204.4,465.25
+,5317,5326,10353.8,10697.1,343.33
-,5330,5339,10890.4,9934.14,-956.25
-,5352,5371,10392.9,9659.18,-733.71
+,5381,5388,9569.35,9957.39,388.04
-,5393,5484,10563.6,9464.8,-1098.8
+,5508,5550,8270.29,8568.8,298.51
-,5559,5564,8715.55,8270.39,-445.16
-,5594,5609,8209.1,7495.64,-713.46
+,5621,5622,7621.09,8396.13,775.04
-,5624,5741,9705.15,7025.65,-2679.5
+,5759,5760,7253.65,7561.65,308
-,5771,5786,7743.65,7149.98,-593.67
-,5789,5839,7489.15,6862.4,-626.75
+,5850,5851,6859.9,7119.65,259.75
-,5864,5918,7610.65,6862.4,-748.25
+,5920,5928,7328.65,7539.15,210.5
+,5930,5934,7897.38,7932.34,34.96
+,5936,5963,8367.33,8572.14,204.81
-,5979,6004,8880.65,8402.65,-478
+,6011,6019,8438.65,8937.65,499
+,6026,6037,9331.15,9545.14,213.99
+,6059,6061,9427.14,9675.14,248
+,6074,6084,10119.6,10293.6,174
-,6114,6146,9962.65,9178.65,-784
+,6167,6184,8804.65,9073.65,269
-,6203,6214,8055.15,7336.65,-718.5
+,6244,6245,5600.5,5864.57,264.07
+,6250,6262,6769.48,6778.08,8.6
-,6268,6284,6880.06,5890.14,-989.92
+,6289,6306,6461.1,6911.07,449.97
+,6316,6320,7066.22,7363.05,296.83
+,6350,6374,6838.65,7153.6,314.95
+,6388,6396,6948.61,7505.12,556.51
+,6404,6418,7738.12,7948.13,210.01
+,6420,6421,8594.42,8921.4,326.98
+,6423,6454,9158.57,9337.11,178.54
+,6456,6457,9631.75,9791.5,159.75
+,6474,6481,8918.5,9285.5,367
+,6484,6495,9610.15,9846.85,236.7
-,6502,6516,9764.75,9058.8,-705.95
+,6522,6558,9240.85,9573.9,333.05
-,6560,6606,10121.5,9223.5,-897.95
+,6619,6794,9471.5,10000.6,529.15
+,6798,6799,10846.5,10864.9,18.39
+,6810,6839,11264.8,11595.7,330.89
+,6855,6888,12008.3,12377.9,369.6
-,6906,6925,11846.2,11243.5,-602.73
+,6930,6952,11471.7,11895.2,423.52
-,6954,6963,11983.4,11258.9,-724.5
+,6980,7008,10332.9,10694.1,361.25
-,7013,7051,10876,10209,-666.96
+,7056,7116,10645,10909.4,264.37
+,7121,7128,11066.5,11554.4,487.85
+,7147,7164,11529.9,11964.4,434.43
+,7167,7170,12243.4,12852.9,609.5
+,7184,7195,13030.3,13682.3,652.02
+,7207,7231,13572.1,14063.4,491.25
+,7234,7237,14313.4,15040.6,727.23
+,7239,7265,15764.9,16049.9,284.93
+,7269,7284,16441.4,16946.6,505.25
+,7303,7314,18694.4,19184.1,489.76
+,7335,7336,18489.1,18519.8,30.72
+,7338,7341,19138.9,19591.8,452.9
-,7355,7377,19359.7,18194,-1165.7
+,7395,7397,19064.9,19172.1,107.18
+,7401,7410,19437.7,20301.2,863.42
+,7412,7414,21171.5,22272.5,1100.98
+,7425,7450,23671.1,27014.6,3343.46
+,7462,7467,27571.1,28853.2,1282.06
+,7474,7480,29448.3,33212.8,3764.45
+,7491,7493,33779.7,35083.5,1303.84
+,7497,7499,35945,37488,1542.98
+,7501,7502,38210.1,39767.5,1557.34
-,7507,7511,41319.2,34775,-6544.2
+,7527,7528,37233.5,37432.4,198.92
-,7531,7560,38963.6,32842.1,-6121.49
+,7569,7573,33288.2,34546.2,1257.99
+,7592,7593,32334.5,33235,900.53
+,7596,7597,36958,38323.1,1365.09
+,7608,7613,35329.5,36495.2,1165.75
+,7616,7630,37211.4,38561.3,1349.95
+,7633,7634,42975.5,43136.1,160.6
+,7636,7637,46169.9,46924.6,754.69
+,7651,7654,47530.1,48479.2,949.15
+,7667,7674,49148.2,51497,2348.88
+,7677,7688,52391,54797.9,2406.92
-,7690,7698,56902.1,47984.2,-8917.91
-,7711,7714,51347.9,46472,-4875.86
+,7724,7734,48600.3,51440,2839.74
+,7749,7750,48990.6,51564.2,2573.56
+,7755,7757,51818.3,54257.3,2438.96
+,7759,7766,54772.8,56872.5,2099.74
+,7773,7780,57514,60023,2509
-,7798,7830,58432.5,51799.9,-6632.61
+,7838,7842,53337,55365,2028.02
+,7844,7851,57071.7,59119.7,2048
-,7867,7887,59530.8,56443.5,-3087.3
+,7893,7902,57440.7,59783.7,2343.03
+,7904,7911,60642.8,63048.8,2406
-,7915,7932,64267.5,56858.5,-7408.97
-,7943,7955,56723.7,51538.7,-5185.04
+,7963,7965,52342.2,53550.5,1208.25
+,7970,7990,54468.8,56731.5,2262.77
-,7992,8040,57430.6,49692.2,-7738.45
+,8073,8410,41782.7,42524.5,741.8
+,8415,8439,45685.5,46530.5,845
+,8441,8470,47596.3,48766.7,1170.41
+,8472,8532,49447.9,51770,2322.06
-,8538,8542,52513.8,47485.5,-5028.29
-,8554,8564,47195.2,44409.5,-2785.7
-,8574,8595,47153,43510.6,-3642.42
+,8608,8615,43332.7,44671.3,1338.58
+,8641,8648,43489.4,44943,1453.56
+,8651,8660,48123.5,49922.3,1798.75
+,8663,8667,51438.6,52756,1317.39
+,8678,8686,55807.3,57278.5,1471.25
+,8698,8707,56923.6,59595.5,2671.93
+,8710,8711,61407.3,62441.5,1034.2
+,8722,8728,63165.8,66471.3,3305.47
-,8746,8758,63589.5,58902.6,-4686.87
+,8762,8770,60578.5,62560.8,1982.25
+,8782,8804,63065.8,65096.5,2030.75
+,8806,8820,66071,68603.1,2532.12
-,8834,8841,65892.4,60963.1,-4929.3
-,8882,8891,57756.1,54600.1,-3155.95
-,8898,8924,58653.5,48892.4,-9761.1
-,8929,8986,50091,45824.5,-4266.49
+,8991,9006,48613.6,50054.9,1441.35
-,9040,9061,48293.6,43557.7,-4735.92
-,9089,9128,43947.5,39734.2,-4213.33
+,9139,9149,36770.7,38207.2,1436.48
+,9163,9192,37768,40528.6,2760.63
+,9194,9207,41471.8,42823.3,1351.5
+,9210,9213,44229.2,44905.2,676.08
-,9228,9235,45330.8,42543,-2787.79
-,9254,9271,43468.8,40666.6,-2802.22
-,9304,9309,38891.6,34651.7,-4239.95
+,9313,9317,38380.2,39368.7,988.5
+,9336,9337,41405.1,41615.5,210.34
+,9341,9499,44423.9,46091.8,1667.89
-,9505,9525,47949.3,44644.5,-3304.78
-,9528,9560,46024.8,42877.4,-3147.39
-,9578,9587,42729.5,41125.9,-1603.64
+,9600,9641,41012.5,42105,1092.49
-,9647,9654,42670.3,39356.8,-3313.47
-,9673,9732,40169.2,37010.3,-3158.8
+,9777,9794,30354.8,31057,702.2
+,9802,9888,30513.1,32131.6,1618.49
+,9920,9922,30251.2,31428,1176.8
-,9980,9993,22633.9,19336.3,-3297.58
+,10003,10012,20579,21318.1,739.04
+,10070,10110,20171.3,21073.4,902.11
